"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/21成交量(張)","12/20成交量(張)"
="0050","元大台灣50","141.85","+0.85","-0.14","+1.25","+0.04","-0.67","+0.96","+5.19","142","142.05","143.6","143.6","143.6","143.6","143.6","140.3","139.7","139.7","137.5","130.9","130.2","117.5","1.69","-4.46","-0.75","-1.97","6,717","4,583"
="0056","元大高股息","33.36","-0.15","-0.27","+1.24","+1","+1.31","-0.18","-3.11","33.47","33.47","33.47","33.47","33.47","36.05","36.17","33.2","32.85","32.85","31.96","30.59","30.59","29.35","-13.7","3.49","-1.37","-4.49","9,723","20,228"
="006208","富邦台50","79.85","+0.76","-0.13","+1.08","-0.13","-0.75","-0.87","+3.23","80.05","80.05","80.85","80.85","81.15","82.35","82.35","79.15","78.75","78.75","77.6","75.45","74.8","66","-7.44","-17","0","0","1,533","1,926"
"00631L","元大台灣50正2","139.45","+2.24","+0.22","+3.07","+0.94","-0.11","+5.36","+13.6","139.75","139.75","141.5","141.5","141.5","141.5","141.5","135.85","134.55","134.55","129.5","114.4","114.4","82.4","16.2","15.2","+2.68","-0.69","1,480","1,545"
"00638R","元大滬深300反1","8.06","+0.37","+1.77","+3.33","0","-2.77","-5.06","+3.33","8.12","8.12","8.12","8.34","8.73","8.92","8.92","7.88","7.83","7.62","7.62","7.62","7.58","6.7","10.3","20.7","+0.29","+1.46","1,305","2,260"
"00642U","期元大S&P石油","12.3","+1.4","-2.61","-1.84","-1.05","-11.8","-1.44","-1.36","12.75","12.75","12.94","13.94","14.75","14.75","14.75","12.11","12.11","12.11","11.61","11.61","10.86","8","-30.4","-18.8","+1.99","+2.48","3,283","11,508"
"00669R","國泰美國道瓊反1","7.74","-0.26","+1.98","+1.18","+0.39","+1.71","-2.03","-5.38","7.79","7.79","7.79","7.99","8.17","8.18","9.49","7.58","7.57","7.54","7.54","7.54","7.54","7.54","43.9","25.2","+0.06","+0.07","3,776","5,187"
"00670L","富邦NASDAQ正2","118.1","+2.03","-6.49","-4.14","-1.99","-9.64","+2.21","+22.7","120","126.5","128","131.65","131.65","131.65","131.65","115.4","115.4","115.4","115.4","99.75","98.3","74.45","-66.3","-54.4","-0.74","-3.46","883","1,367"
="00692","富邦公司治理","35.12","+0.77","-0.17","+0.77","-0.09","-0.65","-2.44","+1.15","35.16","35.19","35.5","35.5","36.78","36.78","36.78","34.79","34.66","34.66","34.07","33.82","33.51","29.21","-8.69","-22.4","0","0","2,002","2,140"
="00712","FH富時不動產","12.92","-1.52","-4.15","-5.14","-6.51","-8.95","-7.25","-11.2","13.45","13.53","13.98","14.25","14.59","14.75","15.21","12.85","12.85","12.85","12.85","12.85","12.85","12.29","-86.6","-85.9","+0.66","+0.66","26,606","22,791"
="00713","元大台灣高息低波","42.26","+0.4","0","+0.38","+0.14","-1.38","-4.58","-0.31","42.3","42.3","42.62","42.96","46.35","46.35","46.35","42","42","42","41.22","41.22","41.22","34","-8.73","-0.97","0","0","1,165","1,688"
="00731","FH富時高息低波","58.25","+0.34","-0.34","-0.09","0","-0.43","-4.35","+2.46","58.55","58.6","58.95","58.95","64.8","64.8","64.8","57.85","57.85","57.85","56.7","56.7","56.6","47.54","-3.11","-3.19","0","0","1,145","1,548"
"00734B","台新JPM新興債","19.37","-0.31","-0.05","-0.56","+0.41","+0.1","-2.66","-1.48","19.43","19.45","19.48","19.48","19.9","19.94","21.09","19.36","19.36","19.21","19.01","19.01","19.01","19.01","1.25","0.39","","","1,007","1,002"
="00757","統一FANG+","49.05","-0.02","-4.29","-2.68","-3.25","-9.33","-2.1","+3.72","49.99","51.3","52.35","54.45","55.2","55.2","55.2","48.8","48.8","48.8","48.8","46.9","46.9","42.85","-86.5","-77.8","-0.1","-0.39","2,788","4,884"
="00830","國泰費城半導體","33.38","+1.58","-3.86","-0.98","-0.83","-3.22","+9.69","+19.1","33.45","34.75","35.15","35.15","35.15","35.15","35.15","32.81","32.81","32.81","32.81","28.11","27.87","24.46","-50","-45.1","-1.49","-1.15","2,277","1,727"
="00876","元大未來關鍵科技","32.28","+1.06","-2.39","-0.77","+0.44","-2.74","+5.73","+13.7","32.61","33.07","33.16","33.19","33.24","33.24","33.24","31.92","31.92","31.92","31.81","27.93","27.93","25.26","-8.82","6.68","-0.23","+0.36","1,145","1,344"
="00877","FH中國5G","13.61","+0.15","-3.06","-3.68","+2.79","+1.95","+13.9","+5.91","14","14.2","14.2","14.2","14.2","14.2","14.85","13.46","13.46","13.28","13.16","11.81","11.81","10.93","18.9","36.8","+0.05","-0.2","951","1,428"
="00878","國泰永續高股息","18.84","+0.48","-0.05","+0.75","+0.43","+0.69","+2.95","+4.15","18.89","18.89","18.93","18.93","18.93","18.93","19.28","18.71","18.66","18.66","18.25","17.77","17.35","15.65","-29","-32.7","-0.46","-0.41","7,626","15,361"
="00881","國泰台灣5G+","18.36","+1.16","-0.05","+1.44","+0.44","-0.49","+4.08","+6.5","18.39","18.39","18.55","18.55","18.55","18.55","18.9","18.1","18.04","18.04","17.61","16.38","16.38","14.75","32.4","29.2","-0.05","+0.75","13,939","9,720"
"01010T","京城樂富R1","10.34","+0.29","-0.19","+0.39","+0.39","+1.17","-3.18","-4.7","10.36","10.36","10.36","10.44","10.68","10.94","11.48","10.18","10.18","10.18","10.18","10.14","10.14","10.14","0.04","0.25","","","12,144","33"
="020022","元大電動車N","5.62","0","-0.53","+1.63","+1.08","+1.26","+8.29","-1.58","5.67","5.69","5.69","5.69","5.69","5.92","6.87","5.57","5.5","5.5","5.31","4.9","4.9","4.9","64.3","65.6","","","1,091","938"
="1101","台泥","47.25","-0.32","+0.75","+0.53","-0.63","-2.17","-6.8","-7.17","47.6","47.6","47.85","48.2","51.7","54.5","58.7","46.9","46.8","46.8","45.95","45.95","45.65","40.15","11.2","8.7","-0.18","+0.37","5,728","11,365"
="1102","亞泥","43.75","+0.81","+1.86","+1.63","+1.16","-2.89","-2.78","-13.9","43.95","43.95","43.95","45.1","46.65","53.6","54.3","42.85","42.6","42.6","42","42","42","40","46.1","35.5","+0.03","+0.17","11,700","15,553"
="1110","東泥","20.25","-1.22","+2.53","+3.05","+1.76","-5.81","+0.75","+32.4","21.2","21.2","21.2","23.6","23.6","23.6","23.6","19.75","19.35","19.35","19.35","18.15","15.25","14.4","-0.57","0.72","+0.15","+0.03","294","1,879"
="1210","大成","52.5","+0.57","+0.38","+0.19","0","-1.32","-4.37","-11","52.7","52.8","52.9","53.3","55.8","61.8","62.9","52","52","52","51.8","51.8","51.8","46.25","-11.7","-12.6","-0.34","-0.35","507","1,540"
="1216","統一","67.9","+0.44","-0.88","-1.31","-0.88","-0.44","-2.44","-6.34","68.7","68.9","69","69","70","76","76.9","67.5","67.5","67.5","65.4","65.4","65.4","64.2","-18.8","-18.3","+0.05","-0.14","5,208","7,177"
="1227","佳格","53.8","-0.19","+1.13","+3.26","+5.08","+4.47","+3.86","+1.13","54.4","54.4","54.4","54.4","54.4","55.4","61.5","52.9","52.2","51","51","50.7","50.7","50.7","36.1","38.3","+0.07","+0.07","1,755","2,925"
="1301","台塑","103.5","+1.47","+1.97","0","0","0","+1.47","+1.47","104","104","106","106.5","121","121","121","101.5","101","101","101","100","95.6","86.6","8.87","-21.1","+0.05","-0.43","4,846","4,164"
="1303","南亞","84.4","+0.72","+2.06","+1.69","-0.35","-0.71","-6.12","+3.05","85","85","85.2","86.5","93.1","93.1","93.1","82.7","82.5","82.5","82","82","81.5","65.6","19.9","4.8","+0.43","+0.18","6,147","5,209"
="1316","上曜","20.3","-0.49","-0.49","0","+0.25","-4.25","+50.4","+74.2","20.75","20.9","21.2","23.35","23.35","23.35","23.35","19.85","19.85","19.7","19.7","12.75","11.3","10.05","13.5","9.08","-0.83","-1","2,271","4,691"
="1326","台化","79.9","+1.4","+1.14","+0.63","-0.75","-1.11","-2.92","-4.08","79.9","79.9","81.2","81.2","84.9","87.4","95.5","78.6","78.6","78.6","78.1","78.1","78.1","77.3","-21.5","-30.7","0","-0.07","1,732","3,314"
="1402","遠東新","28.55","+0.53","+1.24","+0.35","-0.7","-2.89","-3.22","-7.46","28.7","28.7","28.95","29.45","30.4","33.75","35.55","28.1","28.1","28.1","27.75","27.75","27.75","26","-12.7","-19.3","-0.28","-0.3","3,681","4,093"
="1414","東和","20.05","-0.99","-2.2","+3.89","+10.5","+17.3","+31","+16.6","21.9","21.9","21.9","21.9","21.9","21.9","25","19.45","19.15","18","16.8","14.6","12.95","11.2","-7.66","-4.03","-0.19","+0.42","3,118","2,985"
="1434","福懋","28.05","+0.18","-2.77","-2.94","-3.11","-4.43","-7.12","-12.8","28.9","29.05","29.25","29.45","30.8","33.7","34.5","28","28","28","28","28","28","28","-45.7","-48.6","-19.3","-19.9","16,350","17,069"
="1454","台富","14.85","+6.07","+15.6","+10.8","+26.9","+38.8","+47.8","+47","15.4","15.4","15.4","15.4","15.4","15.4","15.4","12.8","12.45","11.5","10.7","9.81","9.8","8","1.4","0.59","+0.08","+0.09","4,043","3,059"
="1504","東元","31","+1.14","+1.31","+2.14","+2.31","-1.12","+0.81","-6.63","31.1","31.15","31.15","31.6","32","34.8","36.6","30.6","30.4","30.25","30","29.85","28.5","26.8","-2.65","-12.4","+0.13","+0.18","932","1,459"
="1514","亞力","25.6","+1.99","+2.2","+3.64","+8.7","+6.22","+9.4","+3.02","25.6","25.6","25.6","25.6","25.6","27.7","28.55","24.75","24.7","23.7","23.05","22.15","22.15","20.5","28","30.2","0","-0.07","1,296","2,065"
="1529","樂士","21.3","+2.16","-1.62","+7.58","-4.7","+22.1","+30.3","+24.6","22.1","22.1","23.5","23.85","23.85","23.85","23.85","19.55","19.55","19.55","16.9","15.55","15.1","14.85","-11.4","-4.09","-0.14","+0.01","1,395","1,792"
="1560","中砂","91.6","+2.81","+0.33","-7.01","+4.33","+0.66","+25.8","+39.2","92","97.8","101.5","101.5","101.5","101.5","101.5","88.8","88.8","88.7","84","65.4","62.2","57.6","5.4","-10.2","-0.06","-0.67","1,872","1,890"
="1605","華新","26.15","+0.19","+1.36","+0.58","-1.51","-4.74","-1.88","+3.16","26.5","26.5","27.2","28.7","28.7","30.85","32.35","25.75","25.75","25.75","25.65","23.1","23.1","16.3","10.3","4.59","-0.19","-0.25","4,318","6,014"
="1611","中電","21.3","0","-3.18","+4.41","+19.7","+41.5","+112","+90.2","22.3","22.55","22.55","22.55","22.55","22.55","22.55","20.25","19.95","17.8","12.7","9.95","9.95","9.48","7.36","2.59","-1.18","+4.99","15,978","21,413"
="1616","億泰","11.55","-1.7","+4.05","+6.45","-0.43","+30.5","+37.3","+22.1","12.15","12.15","12.15","13.15","13.15","13.35","13.35","11.1","10.8","10.8","8.8","7.61","7.61","5.12","2.21","0.58","0","0","1,367","3,480"
="1709","和益","22.7","+3.65","+3.42","+5.09","+2.48","-3.81","+12.9","+8.35","22.8","22.8","22.8","25.45","25.45","25.45","25.45","21.55","21.5","21.5","21.5","19.25","18.65","13.85","-23.2","-24.7","+0.34","+0.16","12,337","881"
="1711","永光","26.95","+3.45","+4.05","+4.66","+2.86","-1.82","+9.11","+43","28.1","28.1","28.1","29.6","32.45","32.45","32.45","25.7","25.7","25.7","25.35","23.1","17.5","15.1","0.11","2.52","+0.51","+0.98","57,839","4,934"
="1714","和桐","10.85","+0.93","0","0","-5.24","-1.36","+4.33","-8.82","10.95","11.05","11.65","11.85","11.85","13.1","13.5","10.6","10.6","10.6","10.6","9.95","9.95","8.96","-33.1","-41.2","0","-0.03","1,973","3,239"
="1721","三晃","27.35","+9.84","+6.63","+3.21","-2.15","+14.2","+163","+182","27.35","27.35","30.15","33.45","33.45","33.45","33.45","24.2","24.2","24.2","23.1","9.29","8.95","8.95","-0.45","-0.2","+2.69","+2.77","12,894","14,423"
="1722","台肥","70","+1.01","+1.01","+1.3","+2.19","+1.89","+18.8","+22.2","71.2","71.2","71.2","71.5","73.2","73.2","73.2","69.2","69","68","67.7","58","55.1","49.95","13.7","12","-1.05","-1.4","1,513","3,563"
="1727","中華化","51.2","+9.99","+7.9","+7.45","+0.2","-2.1","+61.3","+247","51.2","51.2","52.8","61","61.6","61.6","61.6","45.9","45.9","45.9","45.9","24.85","13.85","10.35","1.37","2.32","+11","+9.12","11,426","4,414"
="1785","光洋科","50.2","+2.24","+3.19","+3.08","+0.4","-6.17","-2.52","+12.6","51","51","51.2","55","58.9","58.9","62.4","48.1","48.1","48.1","47.75","47.75","44.05","39.1","-5.74","-4.69","+0.37","+0.36","8,049","2,645"
="1810","和成","17.6","+1.44","+2.33","+2.92","+4.76","+6.02","+44.9","+50.4","18.1","18.1","18.1","18.1","18.1","18.1","18.1","17","16.95","16.05","15.15","11.95","10.2","8.9","9.83","4.67","+0.15","+0.22","3,761","10,806"
="2006","東和鋼鐵","68.7","0","+9.92","+14.7","+13","+64.2","+60.5","+40.2","69.3","69.3","69.3","69.3","69.3","69.3","69.3","63.4","59.5","59.5","41.7","37","37","31","16.5","19.9","+1.81","+1.9","9,620","16,409"
="2101","南港","38.7","+0.65","0","-1.28","-1.28","-5.03","-1.02","+1.84","39.05","39.2","39.5","40.8","41.85","42","45.7","37.9","37.9","37.9","37.9","37.15","36.6","34.55","-10.4","-9.64","+0.06","+0.07","3,162","2,057"
="2103","台橡","42.95","+2.75","+17.2","+23.2","+24.5","+33.4","+40.8","+23.4","43","43","43","43","43","43","43","36.4","34.5","34.2","31.55","29","29","19.5","7.04","10.1","+2.82","+3","68,631","43,963"
="2104","國際中橡","27.25","-1.27","+1.3","+2.25","+4.21","+2.44","+15.5","+9.22","27.9","27.9","27.9","27.9","29.7","29.7","32.9","26.85","26.6","26.15","25.4","22.3","22.15","22.1","-6.28","-5.76","-0.03","-0.02","9,534","13,077"
="2301","光寶科","61.7","+1.15","0","-0.16","+0.49","+0.16","+0.98","-2.99","61.9","62.1","62.9","62.9","65.8","65.8","67.9","60.8","60.8","60.8","59.7","59.7","56.1","48.6","-19.4","-22.3","+0.26","+0.19","3,072","7,404"
="2303","聯電","62.9","+1.13","-0.16","+0.8","-5.41","-3.38","-4.12","+23.3","63.3","64.6","68.2","68.5","68.5","72","72","62","62","61.5","60.9","56.4","50.2","43.05","-30.1","-28.5","+0.04","-0.31","77,195","64,252"
="2313","華通","43.15","+0.35","+0.12","+1.41","+1.53","+0.35","+12.1","+7.34","43.5","43.5","43.5","43.95","45.7","47.9","47.9","42.3","41.85","41.6","39.8","34.85","34.85","31.7","9.47","15.6","+0.03","-0.04","6,125","6,494"
="2324","仁寶","23.85","-0.21","-0.62","0","+0.42","+1.27","+1.49","+6.95","24.25","24.25","24.55","24.55","24.85","24.85","27.95","23.8","23.7","23.6","23.15","23.05","21.25","20.3","-5.7","-6.08","+0.05","+0.03","19,268","14,739"
="2330","台積電","597","-0.17","-1.32","-0.33","-1.65","-3.4","-0.5","+3.29","607","607","614","618","623","638","679","595","595","595","591","560","551","506","-5.71","-3","+0.16","+0.27","17,670","22,382"
="2337","旺宏","41.2","+2.23","+1.23","+2.74","-2.6","-2.72","+10.9","-2.6","41.3","41.3","42.65","44.25","44.25","48","50","40.2","39.9","39.9","39.9","34","34","34","6.55","0.63","-0.17","-0.86","10,964","6,149"
="2338","光罩","98.6","+1.65","-0.7","+2.71","-7.85","-10.8","+19.8","+20.1","99","101.5","114","117","117","117","117","95.4","95.4","95.4","91","69.3","69.3","36.5","-6.98","-13.8","-0.13","-0.37","5,566","4,492"
="2340","光磊","60.7","+2.02","-0.16","+3.23","+5.93","+8.59","+77.7","+136","62","62.2","65.8","66.2","66.2","66.2","66.2","59.1","57.8","57.2","55","29.3","24.85","21.85","0.74","-1.89","-0.29","-0.08","19,960","14,025"
="2342","茂矽","46.7","+1.08","-1.68","+0.32","-15.9","-3.01","+3.78","+42.4","47.5","48.2","57","57","57","57","57","46.15","46.15","45.6","45.2","39","33.15","26.3","-17.2","-18.2","-0.05","-0.47","1,459","2,578"
="2347","聯強","65","+2.36","-1.07","+2.69","+6.56","+14.4","+21.5","+30.5","68","68","68","68","68","68","68","62.6","62.6","61.2","56.9","50.5","50","45","13.1","13.1","+3.67","+3.78","26,317","37,320"
="2351","順德","162.5","+2.2","+1.25","+3.17","-0.61","-7.41","+27.5","+36.6","163.5","163.5","169","176","200","200","200","155.5","155.5","155.5","154","116.5","116.5","71.2","7.13","9.21","-1.56","-3.17","1,420","984"
="2353","宏碁","30","-0.17","+1.18","+4.35","-0.99","+8.5","+19","-2.6","30.2","30.2","30.9","30.9","30.9","31.5","35.85","29.25","28.7","28.55","26.8","23.45","23.45","23.25","20.6","17.2","+0.32","+2.02","15,182","18,484"
="2354","鴻準","64.1","+0.79","+0.16","-0.16","-0.31","-3.9","-3.61","+0.31","64.7","64.7","65.8","67.4","71.8","71.8","79.6","63.6","63.6","63.6","63.5","63.5","61.3","51.8","-6.67","-8.08","+0.05","+0.2","1,964","2,047"
="2355","敬鵬","36.45","+0.83","+0.28","+6.58","+2.97","+9.79","+18.3","+17.2","36.95","36.95","37.2","38.7","38.7","38.7","40.45","35.45","34.2","34.2","31.3","27.2","27.2","23.85","-0.25","2.81","-0.36","+0.04","7,880","3,828"
="2356","英業達","24.95","0","-2.16","-2.16","-2.73","-4.41","+0.2","-1.58","25.5","25.55","25.75","26.45","27.1","27.6","28","24.65","24.65","24.65","24.65","24.5","23.1","22.65","-17.3","-20.5","+0.11","-0.57","7,922","12,350"
="2357","華碩","370.5","+0.95","+0.95","+1.09","+1.09","+2.77","+13.7","-1.2","371","371","371.5","371.5","378","382.5","428","364.5","363","360","351.5","319","307","247.5","11.7","4.3","+0.21","+0.07","2,245","1,915"
="2360","致茂","188","+1.08","+2.17","+2.73","+1.35","+3.58","+2.73","-0.27","188","188","188","190","196","217","230","182","182","181","179","173","173","161","2.41","1.86","0","0","1,024","1,120"
="2368","金像電","74.8","+3.74","+2.61","+7.32","+4.76","+3.89","+1.08","+22.2","75.3","75.3","75.3","76.4","80","83.6","83.6","71.4","69.8","69.6","67.3","59.1","56.5","38.65","27.9","27.5","+1.44","+1.8","23,180","3,219"
="2374","佳能","23.7","+0.42","-1.66","+2.16","+0.21","+8.22","+53.9","+54.4","24.4","24.85","25.9","25.9","25.9","25.9","25.9","23.2","23","22.8","20.6","14.95","14.45","13.45","4.8","2.91","-0.33","+0.02","4,462","4,375"
="2376","技嘉","155","+0.98","-1.9","+2.31","+17","+9.93","+70.1","+39.6","160","165","165","165","165","165","165","149","149","135","127","83","80.5","74.6","0.97","-0.22","-0.73","-0.78","19,301","16,100"
="2379","瑞昱","569","+2.89","0","+4.4","+0.71","+4.02","+8.59","+16.8","575","575","579","581","581","621","621","552","541","541","521","445","445","381.5","9.4","11.9","+0.47","+0.72","1,262","1,588"
="2380","虹光","17.35","+9.12","+4.52","+21.3","+31.9","+73.7","+66.8","+44","17.65","17.65","17.65","17.65","17.65","17.65","17.65","15.5","13.6","12.8","10","8.7","8.7","6.76","2.51","0.52","0","0","9,402","9,720"
="2382","廣達","89.3","+1.71","-0.89","0","+1.59","+2.76","+14.6","+3.6","90","90.3","90.3","90.3","90.3","92","102","87.8","87.8","87.8","85.1","75.8","72.5","72.5","16.7","24.1","-0.11","+0.12","7,937","9,656"
="2383","台光電","275.5","0","-2.48","+0.55","-0.9","+21.1","+21.1","+34.7","281.5","285","293","293.5","293.5","293.5","293.5","273","272","271","228","200","200","141.5","0.43","19.6","-1.05","-1.15","1,260","970"
="2388","威盛","86.7","-1.25","-4.93","+4.08","-3.88","-4.2","+83.1","+58.5","89.8","93.8","93.8","94.7","103.5","103.5","103.5","83.4","82.8","81.9","78.7","38.05","38.05","38.05","-7.97","-0.95","-4.79","-6.99","10,169","16,640"
="2395","研華","387","-0.51","-2.52","+1.31","+3.61","+1.18","+5.31","+18.2","409.5","409.5","409.5","409.5","409.5","409.5","409.5","382","378","376","353","338.5","328","303.5","0.2","7.11","0","0","687","1,557"
="2401","凌陽","38.8","+1.31","-1.15","+1.97","-4.55","-4.9","+2.65","+25.6","39.3","39.65","41.6","41.95","44.9","47.55","47.55","38.1","37.9","37.9","36.75","30.6","30.6","16.4","-12.7","-5.11","+0.28","+0.44","7,605","3,139"
="2405","浩鑫","18.6","+5.08","-1.06","-7.92","+45.3","+51.8","+77.1","+52.5","19.1","19.55","20.45","20.45","20.45","20.45","20.45","17.3","17.3","12.75","11.85","10.3","10.1","10.1","7.32","4.43","0","0","7,884","11,118"
="2406","國碩","34.4","+0.73","-3.37","+0.73","+32.6","+52.2","+53.6","+67.8","36.45","37.7","37.7","37.7","37.7","37.7","37.7","33","33","25.4","22.15","20.7","20.2","14.5","17.5","6.79","-4.93","-0.6","11,315","13,198"
="2412","中華電","115.5","+0.43","+0.87","+1.32","+1.32","+2.21","+4.05","+1.32","116","116","116","116","116","118.5","118.5","114","113.5","113.5","112","110","109","108","10.7","9.4","+0.17","+0.78","8,291","6,017"
="2419","仲琦","23.95","+0.63","-3.82","-4.2","+0.63","+2.35","+25.7","+18.3","25.05","25.75","27.5","27.5","27.5","27.5","27.5","23.6","23.6","23.6","22.05","18.55","17.9","17.9","1.03","0.07","-0.21","-2.04","1,100","1,816"
="2426","鼎元","28.15","+1.81","-0.71","+1.08","-2.26","-2.6","+20.6","+13.5","28.65","28.7","29.65","32.95","32.95","32.95","32.95","27.45","27.45","27.3","25.75","19.7","19.7","15.6","2.63","12.5","-0.04","+0.02","2,629","1,890"
="2436","偉詮電","99","+2.06","+2.8","+11.9","+4.21","-7.04","+23","+44.5","101","101","101","108","115.5","115.5","115.5","94.4","88.4","88","88","70.4","65","41.55","5.39","6.52","+0.7","+2.02","35,375","12,234"
="2442","新美齊","13.1","+0.38","-0.76","-2.96","+0.77","+10.5","+13.4","+33.1","13.35","13.9","14.35","14.35","14.35","14.35","14.35","12.9","12.9","12.8","11.15","11.05","9.75","9.08","6.16","8.99","+0.23","-0.32","1,519","2,144"
="2449","京元電子","43.25","+0.12","-2.15","-1.03","-4.84","-1.48","+0.12","+4.22","44","44.4","45.85","45.85","45.85","51.4","52","43","43","43","41.2","36.4","36.4","33.55","-17","-20","+0.09","-0.16","4,354","5,017"
="2453","凌群","28.7","+2.87","+4.74","+5.32","+4.55","+12.8","+31.1","+21.4","29.7","29.7","29.7","29.7","29.7","29.7","30","26.9","26.9","26.85","25","21.3","21.3","16.6","9.86","10.4","+0.04","+0.07","1,996","1,304"
="2454","聯發科","1090","+3.32","0","+1.87","+2.35","0","+16","+20.7","1110","1110","1110","1110","1120","1120","1185","1055","1045","1045","991","839","839","703","-1.93","4.02","+1.29","+1.16","4,477","3,334"
="2455","全新","140.5","+2.93","-1.4","+1.81","-2.09","-0.35","+12","+14.2","141","143","149","162.5","162.5","162.5","162.5","136","136","136","136","110.5","109.5","89.6","-11.1","-7.94","+0.03","-0.12","1,507","1,059"
="2457","飛宏","43.05","-4.65","-6.92","+5.51","+10.1","+15.3","+33.1","+28.9","46.85","47.35","47.35","47.35","47.35","47.35","48.95","42.7","40.35","38.05","34.35","27.95","27.95","15.4","-0.52","0.53","-1.53","+1.96","28,490","33,046"
="2465","麗臺","81","+4.52","+13.6","+15.7","+14.9","+11.6","+27.4","-6.9","82.4","82.4","82.4","82.4","82.4","91.7","98","70.4","70","70","66.5","52","52","16.05","0.23","0.39","+6.59","+6.34","39,108","11,646"
="2476","鉅祥","64.8","+5.88","+6.23","+6.75","+2.21","+3.68","+14.1","+82","65.4","65.4","66.8","66.8","69","69","69","59.6","59.6","59.6","55.8","46.8","35.65","20.2","2.92","-1.83","+0.34","-0.49","13,062","3,784"
="2481","強茂","108","+2.86","-0.92","+5.37","-1.82","-3.14","+17","+54.5","109.5","109.5","113.5","116.5","125","125","125","103","102","102","100.5","78","70","39.6","3.73","4.87","0","-0.1","16,642","6,395"
="2482","連宇","16.4","-0.91","-2.96","-1.8","+4.46","+5.47","+27.6","+32.3","17.75","18.3","19.45","19.45","19.45","19.45","19.45","16.3","16.3","15.45","13.6","12.05","11.15","9.9","0.89","0.76","-24.3","-25.3","1,410","10,006"
="2484","希華","39.85","+2.71","-1.24","+3.37","+3.51","-7.33","+25.1","+26.7","40.65","41.1","41.1","46.1","46.1","46.1","46.1","38.75","38.65","38.5","38.2","28.45","28.45","21.6","7.51","4.58","-0.7","+3.55","5,700","1,470"
="2497","怡利電","81.1","+5.87","+0.12","-0.98","+6.57","+86.7","+142","+183","89","89","91","91","91","91","91","74.2","74.2","74.2","43.5","28.6","28.6","25.4","-0.1","3","+1.83","+2.48","14,978","8,491"
